citation_key,Year,First author,Category,Title,Mechanism(s),Species,Life stage,Fish size,Thresholds/metrics,Mortality/survival,Sample size (n=),Turbine/structure,Methodology,Hypotheses/assumptions,Outcome summary,Confidence,Notes,Source depth
2003_Cook,2003,Cook,Lab,Final report - pilot scale tests Alden concepts NREC turbine,Barotrauma/pressure; Shear,American eel (A. rostrata),,150-200 mm; 75-150 mm; 92-131 mm,"strain rate s-1: 500, 180",100% surviva; 90.3% surviva; 98% surviva; 96% surviva; 92.9% surviva; 91.0% surviva,,Pump,,,,Mined,,Full-text mined
2003_Morris,2003,Morris,Lab,Lateral line pore diameters correlate with the development of gas bubble trauma signs in several Columbia River fishes,Gas supersaturation/GBT; Entrainment/impingement/screen,Chinook salmon (O. tshawytscha); Salmonids (general); Smolts (unspec.),Juvenile; Smolt,,,,,Spillway,,,,Mined,,Full-text mined
2004_Neitzel,2004,Neitzel,Lab,Survival estimates for juvenile fish subjected to a laboratory-generated shear environment,Shear,,Juvenile,,,,,,Shear flume/jet,,,Mined,,Low text only
2004_Ryon,2004,Ryon,Lab,Further tests of changes in fish escape behavior resulting from sublethal stresses associated with hydroelectric turbine,,Rainbow trout/steelhead (O. mykiss),,,,,,,,,,Mined,,Full-text mined
2005_Deng,2005,Deng,Lab,Evaluation of fish-injury mechanisms during exposure to turbulent shear flow,Shear; Turbulence,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,93-128 mm; 50.8 cm,6.35-cm jet; onset minor/major/fatal injury at 12.2 / 13.7 / 16.8 m/s (Chinook 93-128 mm),14% mortali; 95% injury; 5% injury,21,Spillway,Shear flume/jet; In-situ field assessment,,"Shear-injury onset for juvenile Chinook: opercle injury ~12.2 m/s, eye injury/bruising/equilibrium loss >=16.8 m/s; acceleration best predicts injury.",Verified,,Full-text mined
2005_Weiland,2005,Weiland,Lab,Characterization of Bead Trajectories Through the Draft Tube of a Turbine Physical Model,Turbulence,,Juvenile,,,,,Kaplan,,,,Mined,,Full-text mined
2006_Escaler,2006,Escaler,Lab,Detection of cavitation in hydraulic turbines,Blade strike; Cavitation,,,,,,,Kaplan; Francis; Pump,,,,Mined,,Full-text mined
2007_Brown,2007,Brown,Lab,Assessment of Barotrauma Resulting from Rapid Decompression of Depth Acclimated Juvenile Chinook Salmon Bearing Radio,Barotrauma/pressure,Chinook salmon (O. tshawytscha),Juvenile; Yearling/sub-adult,126-203 mm; 99-139 mm; 112.4 mm,"pressure kPa: 7, 10, 070, 101, 131, 161",,,,Telemetry/tagging,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2007_Deng,2007,Deng,Lab,Six-Degree-of-Freedom Sensor Fish Design and Instrumentation,Shear; Turbulence,Smolts (unspec.),Smolt; Yearling/sub-adult,,,,,,Sensor Fish,Mechanistic threshold model,,Mined,,Full-text mined
2007_McKinstry,2007,McKinstry,Lab,Derivation of a Mortal Injury Metric for Studies of Rapid Decompression of Depth-Acclimated Physostomous Fish,Barotrauma/pressure,Chinook salmon (O. tshawytscha),Juvenile; Smolt,,'Mortally injured' = presence of any of 8 injury types (replaces mortality as endpoint),,,Kaplan,,Neutral buoyancy / acclimation depth; Mechanistic threshold model,"Defined a 'mortal injury' metric for rapid-decompression studies of physostomous fish, improving on raw mortality.",Verified,,Full-text mined
2009_Brown,2009,Brown,Lab,Assessment of barotrauma from rapid decompression of depth-acclimated juvenile chinook salmon bearing radtiotelemetry,Barotrauma/pressure,Chinook salmon (O. tshawytscha),Juvenile; Yearling/sub-adult,126-203 mm; 99-139 mm; 152.5 mm; 112.4 mm,"pressure kPa: 1.8, 2, 2.62, 7, 9.0, 19",,,Francis,Telemetry/tagging,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
2009_Dobriloff,2009,Dobriloff,Lab,Surface Pressure and Wall Shear Stress Measurements on a Wall Mounted Cylinder,Shear,,,,,,,,CFD/numerical,,,Mined,,Full-text mined
2009_Richmond,2009,Richmond,Lab,Response relationships between juvenile salmon and an autonomous sensor in turbulent flow,Shear; Turbulence,Chinook salmon (O. tshawytscha),Juvenile,92-128 mm; 93-128 mm,,95% injurie; 10% injury; 3.1% injury,,Pump; Spillway,Shear flume/jet; Sensor Fish,Mechanistic threshold model,,Mined,,Full-text mined
200x_Dixon,200x,Dixon,Lab,EPRI-Designing-leading-edges-of-turbine-blades-to-increase-fish-survival-from-blade-strike,Blade strike; Shear; Cavitation; Turbulence; Grinding/abrasion/pinch,Rainbow trout/steelhead (O. mykiss); American eel (A. rostrata); White sturgeon (A. transmontanus),Juvenile; Smolt,,,98% surviva,,,In-situ field assessment,,,Mined,,Full-text mined
2010_Deng,2010,Deng,Lab,Injury and mortality of juvenile salmon entrained in a submerged jet entering still water,Shear; Turbulence,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,93-128 mm; 92-128 mm,Jet velocities to 22.9 m/s; minor/major injury onset at 15.2 / 21.3 m/s,10% injurie; 15% injury,,Spillway,Shear flume/jet,Mechanistic threshold model,"Juvenile Chinook in a submerged jet: minor injury onset ~15.2 m/s, major ~21.3 m/s; acceleration magnitude indexes major injury.",Verified,,Full-text mined
2010_Stephenson,2010,Stephenson,Lab,Assessing barotrauma in neutrally and negatively buoyant juvenile salmonids exposed to simulated hydro-turbine,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Egg; Juvenile,80-165 mm; 82-180 mm; 112.8 mm; 143.8 mm,"Acclimation/neutral buoyancy decisive (16-h acclimation); injuries: gill emboli, swim-bladder rupture, hemorrhage",,599; 862,Spillway,Pressure/barotrauma chamber,Neutral buoyancy / acclimation depth,Neutrally buoyant juvenile salmonids suffered higher mortality/injury than negatively buoyant fish — fish must be acclimated to neutral buoyancy when assessing barotrauma.,Verified,,Full-text mined
2011_Amaralb,2011,Amaral,Lab,Designing leading edges of turbine blades to increase fish survival from blade strike,Blade strike; Shear; Cavitation; Turbulence; Grinding/abrasion/pinch,Rainbow trout/steelhead (O. mykiss); American eel (A. rostrata); White sturgeon (A. transmontanus),Juvenile; Smolt,,3-30% of fish killed (depends on length/design); thicker/blunter and slower blades safer,98% surviva,,,In-situ field assessment,,Blade strike is often the primary turbine-mortality mechanism (3-30% killed); thicker/blunter leading edges and lower strike speeds markedly improve survival.,Verified,,Full-text mined
2011_Boyd,2011,Boyd,Lab,Efficacy of Single‐Suture Incision Closures in Tagged Juvenile Chinook Salmon Exposed to Simulated Turbine Passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,16-19 mm; 95-135 mm,"pressure kPa: 2, 19.3, 55.2, 75, 82.7, 101",,206; 91; 99,Spillway,Telemetry/tagging,Mechanistic threshold model,,Mined,,Full-text mined
2012_Brown,2012,Brown,Lab,Pathways of barotrauma in juvenile salmonids exposed to simulated hydroturbine passage Boyle's law vs. Henry's law,Barotrauma/pressure,Salmonids (general),Juvenile,,Typical Columbia R. passage ~200->0 kPa; Boyle's law (expansion) vs Henry's law (gas exsolution),,,Spillway,,Boyle's law; Henry's law,"Most rapid-decompression injury in juvenile salmonids is from swim-bladder gas expansion (Boyle's law), not gas coming out of solution (Henry's law).",Verified,,Full-text mined
2012_Brownb,2012,Brown,Lab,Quantifying Mortal Injury of Juvenile Chinook Salmon Exposed to Simulated Hydro-Turbine Passage,Barotrauma/pressure; Shear; Gas supersaturation/GBT,Chinook salmon (O. tshawytscha),Juvenile,71-205 mm,"LRP (P < 0.001; LRP × TDG (P = 0.0005; LRP is a significant (P < 0.0001; LRP greater than 1.5; pressure kPa: 2, 10.3, 13.8, 19.3, 44.1, 62; strain rate s-1: 3390",42.0% injury; 125% mortali,5; 3; 2; 1; 734; 284,Francis,,Mechanistic threshold model,,Mined,,Full-text mined
2012_Carlsonb,2012,Carlson,Lab,The Influence of Tag Presence on the Mortality of Juvenile Chinook Salmon Exposed to Simulated Hydroturbine Passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,,log-ratio of pressure (LRP) + tag burden most predictive of mortal injury,20% surviva; 24.3% injury; 6.2% injury; 92.6% mortali,416,Spillway,Telemetry/tagging,Mechanistic threshold model,Telemetry-tag presence raises barotrauma mortal-injury risk; LRP and tag burden are the strongest predictors — tags can inflate apparent mortality.,Verified,,Full-text mined
2012_Colotelo,2012,Colotelo,Lab,The effect of rapid and sustained decompression on barotrauma in juvenile brook lamprey and Pacific lamprey,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Lamprey; Salmonids (general),Juvenile,80-124 mm; 127-183 mm,Acclimation 146.2 kPa (4.6 m) -> nadir 13.8 kPa (rapid <1 s and sustained 17 min),,15; 20; 12; 3; 9; 2; 23,,,Neutral buoyancy / acclimation depth,Brook & Pacific lamprey showed no mortality/barotrauma up to 120 h at exposures expected to injure/kill ~97.5% of juvenile Chinook — lamprey are largely barotrauma-immune.,Verified,,Full-text mined
2012_Jacobsen,2012,Jacobsen,Lab,Environmental effects of hydrokinetic turbines on fish desktop and laboratory flume studies,Blade strike; Shear,American shad (A. sapidissima); Salmonids (general); Rainbow trout/steelhead (O. mykiss); Atlantic salmon (Salmo salar),Juvenile; Adult,22-23 cm; 57-59 cm,"pressure kPa: 1.6, 2, 460; strain rate s-1: 30, 185, 517, 850, 500, 852",3.1% injury; 1.1% injurie; 86.0% mortali; 80% mortali; 50% mortali,,Hydrokinetic/MHK; Tidal,,,,Mined,,Full-text mined
2012_Pflugrath,2012,Pflugrath,Lab,Maximum Neutral Buoyancy Depth of Juvenile Chinook Salmon Implications for Survival during Hydroturbine Passage,Barotrauma/pressure,Chinook salmon (O. tshawytscha); Salmonids (general),Juvenile,127-226 mm,Max neutral-buoyancy depth of juvenile Chinook = 4.6-11.6 m,,,Kaplan,,Neutral buoyancy / acclimation depth,Juvenile Chinook can acclimate (neutral buoyancy) only to ~4.6-11.6 m; deeper-acclimated fish face far greater barotrauma risk.,Verified,,Full-text mined
2013_Chamorrow,2013,Chamorrow,Lab,Three-dimensional flow visualization in the wake of a miniature axial-flow hydrokinetic turbin,Turbulence,,,12 mm,strain rate s-1: 1007,,,Propeller/axial; Hydrokinetic/MHK,,,,Mined,,Full-text mined
2014_Deng,2014,Deng,Lab,Design and implementation of a new autonomous sensor fish to support advanced hydropower development,Blade strike; Barotrauma/pressure; Shear; Cavitation; Turbulence,,,,,,,Kaplan; Francis; Pump,Sensor Fish; Telemetry/tagging; In-situ field assessment; Review/meta-analysis,,,Mined,,Full-text mined
2015_Krakers,2015,Krakers,Lab,Full-Scale Validation of a Comprehensive Criterion to Predict Fish-Friendliness of Pumps,Blade strike,Cyprinids (general); Salmonids (general),Adult,,,100% surviva; 1.6% mortali; 0% mortali; 4.2% mortali; 85% mortali; 11.1% mortali; 85% surviva,,Propeller/axial; Pump,In-situ field assessment,,,Mined,,Full-text mined
2016_Boys,2016,Boys,Lab,A piecewise regression approach for determining biologically relevant hydraulic thresholds for the protection of fishes,Barotrauma/pressure,Murray cod (M. peelii); Silver perch (B. bidyanus),Juvenile,,Ratio of pressure change R(NE:A); precautionary threshold: keep exposure pressure >70% of acclimation pressure,95% injury; 100% injury; 100% injurie; 40% injury; 0% injury; 100% mortali; 10% mortali,,Weir,Pressure/barotrauma chamber,Mechanistic threshold model,Barotrauma injury in Murray cod & silver perch rises sharply as nadir:acclimation ratio falls; multispecies precautionary threshold ~70% of acclimation pressure.,Verified,,Full-text mined
2016_Boysb,2016,Boys,Lab,How low can they go with the flow,Barotrauma/pressure,Silver perch (B. bidyanus); Golden perch (M. ambigua); Murray cod (M. peelii); White sturgeon (A. transmontanus),Egg; Larva; Juvenile; Adult,,Swim-bladder deflation ~40 kPa (~40% of surface pressure); recommend maintaining >=40% surface pressure,5% mortali; 50% mortali,,Kaplan; Weir,Pressure/barotrauma chamber,,Eggs and larvae are highly vulnerable to rapid decompression (injuries near 100% at low pressures); keeping exposure >=~40% surface pressure is protective.,Verified,,Full-text mined
2016_Brown,2016,Brown,Lab,A preliminary assessment of barotrauma injuries and acclimation studies for three fish species,Barotrauma/pressure,White sturgeon (A. transmontanus),,122-259 mm; 178-319 mm; 242-400 mm; 145-338 mm; 242-324 mm; 145-319 mm,"ratio of pressure change of 2; ratio of pressure change is again 2; RPC was a mean of 979; RPC was a mean of 4.3; pressure kPa: 0, 2.8, 3.4, 4.0, 4.1, 7.2; strain rate s-1: 1007",36% injurie,,Spillway,Pressure/barotrauma chamber,Neutral buoyancy / acclimation depth,,Mined,,Full-text mined
